contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
38,Dead Lead,Declined Attending,2.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Married,$50k - $75k,Some College No Degree,,,Hispanic or Latina,2021-01-07 17:43:00,2021,Hispanic or Latina,1,3
39,Dead Lead,Non-responsive,3.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Separated,$25k - $35k,High School Diploma,,,Hispanic or Latina,2021-01-07 19:24:00,2021,Hispanic or Latina,1,3
40,Dead Lead,Deferred Application,1.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,Bachelor's Degree,,,,2021-01-08 17:35:00,2021,Other,1,4
41,Dead Lead,Dead lead,3.0,I do not own a laptop,Employed almost full-time (up to 35 hrs),$25K-$35K,Married,$75k - $100k,High School Diploma,,,White,2021-01-08 18:58:00,2021,White,1,4
42,2020 Fall - Lehi,Assigned Cohort,2.0,Laptop (PC),,,Married,$50k - $75k,Bachelor's Degree,,,White,2021-01-08 20:16:00,2021,White,1,4
43,2020 Fall - Ogden,Assigned Cohort,2.0,Laptop (PC),,I do not currently work outside the home.,Separated,<$15k,Some College No Degree,,,White,2021-01-08 21:45:00,2021,White,1,4
44,Dead Lead,Declined Attending,1.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Some College No Degree,,,White,2021-01-08 23:29:00,2021,White,1,4
45,Dead Lead,Dead lead,4.0,I do not own a laptop,,$75K-$100K,Single,$150k - $200k,High School Diploma,,,Hispanic or Latina,2021-01-09 09:30:00,2021,Hispanic or Latina,1,5
46,2020 Fall - Ogden,Assigned Cohort,1.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Separated,$15k - $25k,Some College No Degree,,,White,2021-01-09 11:30:00,2021,White,1,5
47,Dead Lead,Dead lead,1.0,I do not own a laptop,,I do not currently work outside the home.,Single,<$15k,Some College No Degree,,,Would prefer not to answer,2021-01-09 11:44:00,2021,Would prefer not to answer,1,5
48,2020 Fall - Ogden,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,Bachelor's Degree,,,White,2021-01-09 16:04:00,2021,White,1,5
49,2020 Fall - Ogden,Assigned Cohort,2.0,Laptop (Mac),Employed full-time (35 hrs+),,Married,$150k - $200k,Certificate,,,White,2021-01-10 10:12:00,2021,White,1,6
50,2020 Fall - Ogden,Assigned Cohort,4.0,Laptop (PC),,I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,,,Would prefer not to answer,2021-01-10 10:41:00,2021,Would prefer not to answer,1,6
51,Dead Lead,Dead lead,1.0,I do not own a laptop,Employed almost full-time (up to 35 hrs),$75K-$100K,Single,$50k - $75k,High School Diploma,,,"""Some other race, ethnicity, or origin""",2021-01-10 11:02:00,2021,"""Some other race, ethnicity, or origin""",1,6
