contact_id,cohort,applicant_status,children,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,month,weekday,day,has_computer,accepted,quarter,is_weekend,computer_availability_I do not own a laptop,computer_availability_Laptop (Mac),computer_availability_Laptop (PC),computer_availability_Not Specified,employment_simplified_Full-time,employment_simplified_Not Employed,employment_simplified_Not Specified,employment_simplified_Part-time,education_category_Advanced Degree,education_category_Bachelor,education_category_High School,education_category_Some College,income_band_Other,race_simplified_Asian,race_simplified_Black/African American,race_simplified_Hispanic/Latino,race_simplified_Multiracial/Other,race_simplified_Native American/Pacific Islander,race_simplified_White only,children_category_No Children,children_category_One Child,children_category_2-3 Children,children_category_4+ Children,"ethnicity_simplified_""Some other race, ethnicity, or origin""",ethnicity_simplified_American Indian or Alaska Native,"ethnicity_simplified_American Indian or Alaska Native,White",ethnicity_simplified_Asian,ethnicity_simplified_Black or African American,ethnicity_simplified_Hispanic or Latina,"ethnicity_simplified_Hispanic or Latina,White",ethnicity_simplified_Native Hawaiian or Other Pacific Islander,ethnicity_simplified_Other,ethnicity_simplified_White,ethnicity_simplified_Would prefer not to answer
16,2020 Fall - Lehi,Assigned Cohort,1.0,Employed almost full-time (up to 35 hrs),<$15K,Single,<$15k,High School Diploma,Not Specified,Not Specified,Hispanic or Latina,2020-11-25 09:20:00,2020,11,2,25,1,1,4,0,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
17,Dead Lead,Dead lead,1.0,Not Specified,Not Specified,Married,$100k - $150k,Bachelor's Degree,Not Specified,Not Specified,White,2020-11-25 09:20:00,2020,11,2,25,1,0,4,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
18,2020 Fall - Lehi,Assigned Cohort,1.0,Not Specified,I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,Not Specified,Not Specified,Would prefer not to answer,2020-11-25 09:20:00,2020,11,2,25,0,1,4,0,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
19,Dead Lead,Declined Attending,1.0,Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,Not Specified,Not Specified,White,2020-11-25 09:20:00,2020,11,2,25,1,0,4,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
20,2020 Fall - Lehi,Assigned Cohort,3.0,Not Specified,I do not currently work outside the home.,Married,$50k - $75k,Bachelor's Degree,Not Specified,Not Specified,Hispanic or Latina,2020-11-25 09:20:00,2020,11,2,25,1,1,4,0,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21,Dead Lead,Declined Attending,2.0,Not Specified,Not Specified,Single,$25k - $35k,Bachelor's Degree,Not Specified,Not Specified,White,2020-11-25 09:20:00,2020,11,2,25,1,0,4,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
22,Dead Lead,Dead lead,2.0,Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,Not Specified,Not Specified,White,2020-11-25 09:20:00,2020,11,2,25,1,0,4,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
23,Dead Lead,Declined Attending,1.0,Employed full-time (35 hrs+),$50K-$75K,Married,$50k - $75k,Some College No Degree,Not Specified,Not Specified,White,2020-11-25 09:20:00,2020,11,2,25,1,0,4,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
25,Dead Lead,Declined Attending,2.0,Employed full-time (35 hrs+),$35K-$50K,Separated,$50k - $75k,Graduate or Professional Degree,Not Specified,Not Specified,"""Some other race, ethnicity, or origin""",2021-01-04 11:04:00,2021,1,0,4,1,0,1,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
26,Dead Lead,Dead lead,1.0,Employed almost full-time (up to 35 hrs),$75K-$100K,Married,$100k - $150k,Bachelor's Degree,Not Specified,Not Specified,Not Specified,2021-01-04 11:04:00,2021,1,0,4,1,0,1,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
